,ID,Status,Created At,Text,Polarity,Polarity Strength
38,1291080719712702465,retweet,2020-08-05 18:36:45,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
39,1291080581107810304,tweet,2020-08-05 18:36:12,[Prime Users] Echo Dot (3rd Gen) + Wipro WiFi Enabled Smart LED Bulb Rs.2249 @ Amazon  https://t.co/kpm6IXYncX,1,0.10714285714285714
40,1291079904788807680,retweet,2020-08-05 18:33:31,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
41,1291079306051911680,retweet,2020-08-05 18:31:08,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
42,1291079176212975616,retweet,2020-08-05 18:30:37,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
43,1291079105723748359,retweet,2020-08-05 18:30:20,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
44,1291079087243644929,tweet,2020-08-05 18:30:16,Exploring the Potential of @EdgeXFoundry with On Demand Talent - check out the video and ideation work from the @Topcoder challenge with @DellTech @intel @LF_Edge @Wipro @HP @IOTechSystems: https://t.co/UauqvAZhOS #IoT #edge #Innovation #lfedge #opensource #edgecomputing https://t.co/0H5FKQ9nai,0,0.0
45,1291078903499374592,tweet,2020-08-05 18:29:32,@RishadPremji @Wipro Great News,1,0.8
46,1291078534698422272,tweet,2020-08-05 18:28:04,"@diliptanwar @Guttajwala How my great grand father knows about internet in 50's about internet when it came in mid 80's , are you really a project engineer in wipro?? If I am not wrong even your great grand father didnt see 60's. Bhai engineer hai ya peon hai wipro me theek theek bata",1,0.4357142857142857
47,1291076599572393984,retweet,2020-08-05 18:20:23,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
48,1291076503086612481,retweet,2020-08-05 18:20:00,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
49,1291075350206840832,retweet,2020-08-05 18:15:25,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
50,1291075235718901762,retweet,2020-08-05 18:14:57,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
51,1291074389203509250,retweet,2020-08-05 18:11:36,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
52,1291073970616205314,tweet,2020-08-05 18:09:56,"@RishadPremji @Wipro Wipro&amp; Mr.Ajim Premji have donated so much to India.Along with @SonuSood ,they are great humans @PMOIndia @Swamy39 @pradeeepjourno",1,0.5
53,1291073845147754496,retweet,2020-08-05 18:09:26,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
54,1291073569305145344,retweet,2020-08-05 18:08:20,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
55,1291073185195028480,retweet,2020-08-05 18:06:48,Four female patients discharged  yesterday Covid free!  All above the age of 80 years and one of them a young 92.  Great to see the Covid hospital set up at Wipro’s Pune campus coming to good use. @Wipro https://t.co/Swj335BtbT,1,0.3499999999999999
